1769, 1242, 1857
1997, 1905, 1998
1997, 1997, 1998
1997, 1997, 1688
1997, 1129, 1568
1997, -1061, 1913
1990, -1998, 1654
1187, -1998, 220
-23, -1998, -1048
-388, -1998, -648
-446, -1990, -33
-96, -1401, 466
-331, -1957, 1357
-429, -1964, 1279
-,-,-
1747, 809, 1775
1997, 1179, 1941
1997, 1910, 1998
1997, 1997, 1998
1997, 1623, 1878
1997, 268, 1122
1997, -1738, 241
1872, -1998, -83
560, -1998, -607
-482, -1998, -1331
-371, -1998, -1145
-,-,-
1499, 718, 1502
1952, 1346, 1690
1997, 1758, 1835
1997, 1961, 1327
1997, 1553, 1161
1997, 278, 1329
1997, -661, 891
1952, -1725, 374
985, -1998, -119
-292, -1998, -102
-961, -1998, 31
-,-,-
1562, 723, 1828
1985, 1219, 1941
1997, 1958, 1938
1997, 1997, 1304
1997, 1350, 614
1997, -978, 896
1997, -1998, 890
1182, -1998, 34
-100, -1998, 43
-1047, -1998, 337
-1205, -1998, -395
-1026, -1730, 101
-,-,-
1996, 1176, 1860
1996, 1176, 1860
1997, 1411, 1998
1997, 1279, 1789
1997, 705, 1168
1997, -439, 1267
1952, -1807, 1586
1085, -1998, 1170
53, -1998, 433
-489, -1998, 4
-478, -1994, -843
-775, -1998, 477
-,-,-
1801, 1458, 1551
1997, 1922, 1687
1997, 1997, 1868
1997, 1971, 1806
1997, 1139, 970
1997, -772, 1195
1938, -1973, 1973
728, -1998, 1633
-607, -1998, 748
-958, -1998, -16
-,-,-
1387, 823, 1928
1950, 1467, 1828
1997, 1977, 1996
1997, 1997, 1881
1997, 1809, 1659
1997, 726, 1512
1997, -1242, 1407
1650, -1998, 1192
530, -1998, 301
-,-,-
1254, 785, 1720
1962, 1188, 1998
1997, 1180, 1939
1997, 1418, 1997
1997, 1534, 1594
1997, 1382, 874
1997, 1382, 874
1997, -91, 346
1939, -1878, 235
-,-,-
1616, 1184, 1645
1997, 1563, 1992
1997, 1874, 1990
1997, 1980, 1924
1997, 1793, 1559
1997, 284, 1705
1997, -1188, 1650
1902, -1998, 556
544, -1998, -437
-650, -1998, -100
-1019, -1998, 33
-,-,-
805, 259, 1421
1311, 442, 1876
1894, 989, 1998
1997, 1543, 1998
1997, 1460, 1987
1997, 1643, 1926
